tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes
tt0003740,Cabiria,Cabiria,0,1914,148
tt0006206,Les Vampires,Les vampires,0,1915,421
tt0006864,Intolerance,Intolerance: Love's Struggle Throughout the Ages,0,1916,163
tt0006886,Judex,Judex,0,1916,300
tt0008663,A Man There Was,Terje Vigen,0,1917,65
tt0008879,The Outlaw and His Wife,Berg-Ejvind och hans hustru,0,1918,72
tt0009893,The Oyster Princess,Die Austernprinzessin,0,1919,60
tt0009968,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,0,1919,90
tt0010247,Sir Arne's Treasure,Herr Arnes pengar,0,1919,122
tt0010307,J'accuse!,J'accuse,0,1919,166
tt0010323,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,67
tt0010600,The Doll,Die Puppe,0,1919,66
tt0011237,The Golem,"Der Golem, wie er in die Welt kam",0,1920,91
tt0011565,The Penalty,The Penalty,0,1920,90
tt0011607,The Parson's Widow,Prästänkan,0,1920,94
tt0011841,Way Down East,Way Down East,0,1920,145
tt0012190,The Four Horsemen of the Apocalypse,The Four Horsemen of the Apocalypse,0,1921,150
tt0012349,The Kid,The Kid,0,1921,68
tt0012364,The Phantom Carriage,Körkarlen,0,1921,107
tt0012494,Destiny,Der müde Tod,0,1921,114
tt0012532,Orphans of the Storm,Orphans of the Storm,0,1921,150
tt0012763,Tol'able David,Tol'able David,0,1921,99
tt0013086,"Dr. Mabuse, the Gambler","Dr. Mabuse, der Spieler",0,1922,242
tt0013257,Häxan,Häxan,0,1922,91
tt0013427,Nanook of the North,Nanook of the North,0,1922,78
tt0013442,Nosferatu: A Symphony of Horror,"Nosferatu, eine Symphonie des Grauens",0,1922,94
tt0013933,The Faithful Heart,Coeur fidèle,0,1923,87
tt0014142,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1923,133
tt0014341,Our Hospitality,Our Hospitality,0,1923,65
tt0014358,The Pilgrim,The Pilgrim,0,1923,47
tt0014417,The Wheel,La roue,0,1923,417
tt0014429,Safety Last!,Safety Last!,0,1923,74
tt0014611,Why Worry?,Why Worry?,0,1923,63
tt0014945,Girl Shy,Girl Shy,0,1924,87
tt0014972,He Who Gets Slapped,He Who Gets Slapped,0,1924,95
tt0015002,Hot Water,Hot Water,0,1924,53
tt0015014,L'inhumaine,L'inhumaine,0,1924,135
tt0015016,The Iron Horse,The Iron Horse,0,1924,150
