tconst,genres
tt0003740,Adventure
tt0003740,Drama
tt0003740,History
tt0006206,Action
tt0006206,Adventure
tt0006206,Crime
tt0006864,Drama
tt0006864,History
tt0006886,Adventure
tt0006886,Crime
tt0008663,Drama
tt0008663,War
tt0008879,Drama
tt0009893,Comedy
tt0009968,Drama
tt0009968,Romance
tt0010247,Drama
tt0010247,History
tt0010307,Drama
tt0010307,Horror
tt0010307,War
tt0010323,Horror
tt0010323,Mystery
tt0010323,Thriller
tt0010600,Comedy
tt0010600,Fantasy
tt0010600,Sci-Fi
tt0011237,Fantasy
tt0011237,Horror
tt0011565,Crime
tt0011565,Drama
tt0011565,Horror
tt0011607,Comedy
tt0011607,Drama
tt0011607,Horror
tt0011841,Drama
tt0011841,Romance
tt0012190,Drama
tt0012190,Romance
tt0012190,War
tt0012349,Comedy
tt0012349,Drama
tt0012349,Family
tt0012364,Drama
tt0012364,Fantasy
tt0012364,Horror
tt0012494,Drama
tt0012494,Fantasy
tt0012494,Horror
tt0012532,Drama
tt0012532,History
tt0012532,Romance
tt0012763,Drama
tt0013086,Crime
tt0013086,Mystery
tt0013086,Thriller
tt0013257,Documentary
tt0013257,Fantasy
tt0013257,Horror
tt0013427,Documentary
tt0013442,Fantasy
tt0013442,Horror
tt0013933,Drama
tt0013933,Romance
tt0014142,Drama
tt0014142,Horror
tt0014142,Romance
tt0014341,Comedy
tt0014341,Romance
tt0014341,Thriller
tt0014358,Comedy
tt0014358,Western
tt0014417,Drama
tt0014429,Action
tt0014429,Comedy
tt0014429,Thriller
tt0014611,Adventure
tt0014611,Comedy
tt0014611,Family
tt0014945,Comedy
tt0014945,Romance
tt0014972,Drama
tt0014972,Horror
tt0014972,Romance
tt0015002,Comedy
tt0015014,Drama
tt0015014,Mystery
tt0015014,Romance
tt0015016,Drama
tt0015016,History
tt0015016,Romance
tt0015064,Drama
tt0015136,Drama
tt0015136,Romance
tt0015163,Action
tt0015163,Adventure
tt0015163,Comedy
tt0015174,Adventure
tt0015174,Drama
tt0015174,Fantasy
tt0015175,Adventure
