originalTitle,actor,actress,archive_footage,archive_sound,casting_director,cinematographer,composer,director,editor,producer,production_designer,self,writer,isAdult,startYear,runtimeMinutes,genres
#Home,Indrans Sreenath Bhasi Naslen Kainakary Thankaraj Johny Antony Maniyanpilla Raju Vijay Babu Srikant Murali,Manju Pillai Deepa Thomas,,,,Neil D'Cuncha,Rahul Subrahmanian,Rojin Thomas,Prejish Prakash,Vijay Babu,Banglan,,Rojin Thomas,0,2021,158,Drama Family
#Kaadal Kahaani,Anirudh Sameer Mahesh Yadlapalli Johny Naidu Master Dhruv Koti Yanamadala,Aishwarya Kandrakota K Bujji Baby Deha Chowdary,,,,Om S Bharadwaj,Barath Dhanasekar,Vinay Muppalla,Sai Bharadwaj Vipparthi,Vivek Kavati,,,Rayud Bandi,0,2022,93,Comedy Drama Family
#Lifestories,Satya Kethineedi Rajasekhar Aningi Raju Gollapalli Pradeep Raparthi Mohan Rao Bagwat Santhosh Kaveti Swarna Debora M. Vivan Jain,Deviyani Sharma Shalini Kondepudi,,,,Pranav Ananda,Vinod Kumar Vinnu,Ujjwal Kashyap,Surya Vinay,M M Vijaya Jyothi M. M. Vijaya Jyothi,,,Ujjwal Kashyap,0,2024,104,Drama
#Viral Prapancham,Sunny Naveen Sai Ronak,Priyanka Sharma Nitya Shetty,,,,Varun Ankarla,Gyaani,Brijesh Tangi,Gs,Akila Tangi,,,Lalith Bankupally Vijaya,0,2025,97,Drama Mystery
'71,Jack O'Connell Sam Reid Sean Harris Paul Popplewell Jack Lowden Adam Nagaitis Joshua Hill Ben Williams-Lee Jonah Russell Harry Verity,,,,Jina Jay,Tat Radcliffe,David Holmes,Yann Demange,Chris Wyatt,Robin Gutch Angus Lamont,Chris Oddy,,Gregory Burke,0,2014,99,Action Crime Drama
'A' gai wak,Jackie Chan Sammo Kam-Bo Hung Biao Yuen Dick Wei Mars Tai-Bo Hoi-Sang Lee Hoi-San Kwan Wai Wong,Isabella Wong,,,,Yiu-Tsou Cheung,Siu-Tin Lai Nicholas Rivera,Jackie Chan,Peter Cheung,Leonard Ho Edward Tang,Yuen Wo Poon Jim Fook Sing Lok Tung So,,Jackie Chan Edward Tang,0,1983,105,Action Adventure Comedy
'Breaker' Morant,Edward Woodward Jack Thompson John Waters Bryan Brown Charles 'Bud' Tingwell Terence Donovan Vincent Ball Ray Meagher Chris Haywood Russell Kiefel,,,,Alison Barrett,Donald McAlpine,,Bruce Beresford,William M. Anderson,Matt Carroll,David Copping,,Jonathan Hardy David Stevens Bruce Beresford Harold Lander,0,1980,107,Drama History War
'G' Men,James Cagney Robert Armstrong Barton MacLane Lloyd Nolan William Harrigan Russell Hopton Edward Pawley Noel Madison,Margaret Lindsay Ann Dvorak,,,,Sol Polito,,William Keighley,Jack Killifer,,,,Seton I. Miller,0,1935,85,Crime Drama Film-Noir
"'Non', ou A Vã Glória de Mandar",Luís Miguel Cintra Luís Miguel Cintra Luís Miguel Cintra Diogo Dória Diogo Dória Diogo Dória Miguel Guilherme Miguel Guilherme Miguel Guilherme Luís Lucas Luís Lucas Luís Lucas Carlos Gomes Carlos Gomes António S. Lopes António S. Lopes António S. Lopes Mateus Lorena Raúl Fraire Ruy de Carvalho Ruy de Carvalho,Lola Forner,,,,Elso Roque,Alejandro Massó,Manoel de Oliveira,Manoel de Oliveira Sabine Franel,Paulo Branco,Zé Branco Luís Monteiro,,Manoel de Oliveira P. João Marques,0,1990,110,Drama History War
'Pimpernel' Smith,Leslie Howard Francis L. Sullivan Allan Jeayes Hugh McDermott Raymond Huntley Manning Whiley Peter Gawthorne Dennis Arundell,Mary Morris Joan Kemp-Welch,,,,Mutz Greenbaum,John Greenwood,Leslie Howard,Douglas Myers,Leslie Howard,,,Anatole de Grunwald A.G. Macdonell Wolfgang Wilhelm Roland Pertwee,0,1941,120,Adventure Drama Thriller
