primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
Intolerance,Intolerance: Love's Struggle Throughout the Ages,0,1916,\N,163,Drama History
Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,0,1919,\N,90,Drama Romance
The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,\N,67,Horror Mystery Thriller
The Golem,"Der Golem, wie er in die Welt kam",0,1920,\N,91,Fantasy Horror
The Kid,The Kid,0,1921,\N,68,Comedy Drama Family
The Phantom Carriage,Körkarlen,0,1921,\N,107,Drama Fantasy Horror
"Dr. Mabuse, the Gambler","Dr. Mabuse, der Spieler",0,1922,\N,242,Crime Mystery Thriller
Häxan,Häxan,0,1922,\N,91,Documentary Fantasy Horror
Nanook of the North,Nanook of the North,0,1922,\N,78,Documentary
Nosferatu: A Symphony of Horror,"Nosferatu, eine Symphonie des Grauens",0,1922,\N,94,Fantasy Horror
Our Hospitality,Our Hospitality,0,1923,\N,65,Comedy Romance Thriller
Safety Last!,Safety Last!,0,1923,\N,74,Action Comedy Thriller
The Last Laugh,Der letzte Mann,0,1924,\N,90,Drama
The Navigator,The Navigator,0,1924,\N,59,Action Adventure Comedy
Sherlock Jr.,Sherlock Jr.,0,1924,\N,45,Action Comedy Romance
Strike,Stachka,0,1925,\N,82,Drama
The Big Parade,The Big Parade,0,1925,\N,151,Drama Romance War
Battleship Potemkin,Bronenosets Potyomkin,0,1925,\N,66,Drama History Thriller
The Gold Rush,The Gold Rush,0,1925,\N,95,Adventure Comedy Drama
Greed,Greed,0,1924,\N,140,Drama Thriller Western
The Phantom of the Opera,The Phantom of the Opera,0,1925,\N,93,Horror Music
Seven Chances,Seven Chances,0,1925,\N,56,Comedy Romance
Ben-Hur: A Tale of the Christ,Ben-Hur A Tale of the Christ,0,1925,\N,143,Action Adventure Drama
Faust,Faust: Eine deutsche Volkssage,0,1926,\N,107,Drama Fantasy Horror
The Lodger: A Story of the London Fog,The Lodger: A Story of the London Fog,0,1927,\N,92,Crime Drama Mystery
Metropolis,Metropolis,0,1927,\N,153,Drama Sci-Fi
The General,The General,0,1926,\N,78,Action Adventure Comedy
Napoleon,Napoléon vu par Abel Gance,0,1927,\N,330,Biography Drama History
October (Ten Days that Shook the World),Oktyabr,0,1928,\N,95,Drama History
Sunrise,Sunrise: A Song of Two Humans,0,1927,\N,94,Drama Romance
The Unknown,The Unknown,0,1927,\N,68,Drama Horror Romance
Wings,Wings,0,1927,\N,144,Action Drama Romance
Pandora's Box,Die Büchse der Pandora,0,1929,\N,109,Crime Drama Romance
The Cameraman,The Cameraman,0,1928,\N,76,Comedy Drama Family
The Circus,The Circus,0,1928,\N,72,Comedy Family Romance
The Crowd,The Crowd,0,1928,\N,98,Drama Romance
The Man Who Laughs,The Man Who Laughs,0,1928,\N,110,Drama Horror Mystery
The Passion of Joan of Arc,La passion de Jeanne d'Arc,0,1928,\N,114,Biography Drama History
"Steamboat Bill, Jr.","Steamboat Bill, Jr.",0,1928,\N,70,Action Comedy Drama
Man with a Movie Camera,Chelovek s kino-apparatom,0,1929,\N,68,Documentary
All Quiet on the Western Front,All Quiet on the Western Front,0,1930,\N,152,Drama War
Animal Crackers,Animal Crackers,0,1930,\N,97,Comedy Family Musical
The Blue Angel,Der blaue Engel,0,1930,\N,104,Drama Music Romance
Little Caesar,Little Caesar,0,1931,\N,79,Action Crime Drama
The Blood of a Poet,Le sang d'un poète,0,1932,\N,55,Fantasy
