category,job,characters,movie,person
actress,\N,"[""The Woman Who Rocks the Cradle""]",Intolerance: Love's Struggle Throughout the Ages,Lillian Gish
actress,\N,"[""Eternal Mother""]",Intolerance: Love's Struggle Throughout the Ages,Lillian Gish
actor,\N,"[""The Boy""]",Intolerance: Love's Struggle Throughout the Ages,Robert Harron
director,\N,\N,Intolerance: Love's Struggle Throughout the Ages,D.W. Griffith
writer,scenario,\N,Intolerance: Love's Struggle Throughout the Ages,D.W. Griffith
actress,\N,"[""Lucy - The Girl""]",Broken Blossoms or The Yellow Man and the Girl,Lillian Gish
actor,\N,"[""Cheng Huan - The Yellow Man""]",Broken Blossoms or The Yellow Man and the Girl,Richard Barthelmess
actor,\N,"[""Battling Burrows""]",Broken Blossoms or The Yellow Man and the Girl,Donald Crisp
director,director,\N,Broken Blossoms or The Yellow Man and the Girl,D.W. Griffith
writer,adapted from 'The Chink and the Child' by,\N,Broken Blossoms or The Yellow Man and the Girl,Thomas Burke
actor,\N,"[""Dr. Caligari""]",Das Cabinet des Dr. Caligari,Werner Krauss
actor,\N,"[""Cesare""]",Das Cabinet des Dr. Caligari,Conrad Veidt
actor,\N,"[""Franzis""]",Das Cabinet des Dr. Caligari,Friedrich Feher
director,\N,\N,Das Cabinet des Dr. Caligari,Robert Wiene
writer,written by,\N,Das Cabinet des Dr. Caligari,Carl Mayer
actor,\N,"[""A Tramp""]",The Kid,Charles Chaplin
actress,\N,"[""The Woman""]",The Kid,Edna Purviance
actor,\N,"[""The Child""]",The Kid,Jackie Coogan
director,director,\N,The Kid,Charles Chaplin
writer,written by,\N,The Kid,Charles Chaplin
actor,\N,"[""David Holm""]",Körkarlen,Victor Sjöström
actress,\N,"[""Mrs. Holm""]",Körkarlen,Hilda Borgström
actor,\N,"[""Georges""]",Körkarlen,Tore Svennberg
director,\N,\N,Körkarlen,Victor Sjöström
writer,novel,\N,Körkarlen,Selma Lagerlöf
actor,\N,"[""Djævlen""]",Häxan,Benjamin Christensen
actor,\N,"[""The Devil""]",Häxan,Benjamin Christensen
actress,\N,"[""En ældre bondekone""]",Häxan,Elisabeth Christensen
director,\N,\N,Häxan,Benjamin Christensen
writer,\N,\N,Häxan,Benjamin Christensen
actor,\N,"[""Nanook""]",Nanook of the North,Allakariallak
actress,\N,"[""Nanook's Wife - the Smiling One""]",Nanook of the North,Alice Nevalinga
actress,\N,"[""Cunayou - Nanook's Daughter""]",Nanook of the North,Cunayou
director,\N,\N,Nanook of the North,Robert J. Flaherty
actor,\N,"[""Graf Orlok""]","Nosferatu, eine Symphonie des Grauens",Max Schreck
actor,\N,"[""Knock - ein Häusermakler""]","Nosferatu, eine Symphonie des Grauens",Alexander Granach
actor,\N,"[""Hutter""]","Nosferatu, eine Symphonie des Grauens",Gustav von Wangenheim
director,\N,\N,"Nosferatu, eine Symphonie des Grauens",F.W. Murnau
writer,"based on the novel ""Dracula"" by",\N,"Nosferatu, eine Symphonie des Grauens",Bram Stoker
actor,\N,"[""Willie McKay - 21 Years Old""]",Our Hospitality,Buster Keaton
actress,\N,"[""Virginia Canfield""]",Our Hospitality,Natalie Talmadge
actor,\N,"[""The Engineer""]",Our Hospitality,Joe Keaton
director,director,\N,Our Hospitality,John G. Blystone
writer,story,\N,Our Hospitality,Jean C. Havez
actor,\N,"[""Harold - The Boy""]",Safety Last!,Harold Lloyd
actress,\N,"[""Mildred - The Girl""]",Safety Last!,Mildred Davis
actor,\N,"[""Bill - The Pal""]",Safety Last!,Bill Strother
director,director,\N,Safety Last!,Fred C. Newmeyer
writer,story,\N,Safety Last!,Hal Roach
actor,\N,"[""Hotelportier""]",Der letzte Mann,Emil Jannings
actress,\N,"[""Seine Nichte [His Niece]""]",Der letzte Mann,Maly Delschaft
actor,\N,"[""Ihr Bräutigam [Her Bridegroom]""]",Der letzte Mann,Max Hiller
director,\N,\N,Der letzte Mann,F.W. Murnau
writer,written by,\N,Der letzte Mann,Carl Mayer
actor,\N,"[""Rollo Treadway""]",The Navigator,Buster Keaton
actress,\N,"[""Betsy O'Brien""]",The Navigator,Kathryn McGuire
actor,\N,"[""John O'Brien""]",The Navigator,Frederick Vroom
director,\N,\N,The Navigator,Donald Crisp
writer,story,\N,The Navigator,Clyde Bruckman
actor,\N,"[""Projectionist""]",Sherlock Jr.,Buster Keaton
actor,\N,"[""Sherlock, Jr.""]",Sherlock Jr.,Buster Keaton
actress,\N,"[""The Girl""]",Sherlock Jr.,Kathryn McGuire
director,\N,\N,Sherlock Jr.,Buster Keaton
writer,story,\N,Sherlock Jr.,Jean C. Havez
actor,\N,"[""Grigory Vakulinchuk""]",Bronenosets Potyomkin,Aleksandr Antonov
actor,\N,"[""Commander Golikov""]",Bronenosets Potyomkin,Vladimir Barskiy
actor,\N,"[""Chief Officer Giliarovsky""]",Bronenosets Potyomkin,Grigoriy Aleksandrov
director,director,\N,Bronenosets Potyomkin,Sergei Eisenstein
writer,script by,\N,Bronenosets Potyomkin,Nina Agadzhanova
actor,\N,"[""The Lone Prospector""]",The Gold Rush,Charles Chaplin
